Instance,Original,,,,WF,,,,CGLM,,,
,No VIs,VI-1,VI-2,VI-1&2,No VIs,VI-1,VI-2,VI-1&2,No VIs,VI-1,VI-2,VI-1&2
K300V75S4seed9,19.39087033,17.97202015,12.41121054,14.03341651,17.53156853,16.63405299,17.71866822,13.83352685,22.06822443,18.39614868,16.72808647,15.41758251
Avg.,30.97,33.03,31.52,30.05,32.33,31.07,30.53,31.39,31.30,22.06,23.77,20.62
K300V100S4seed0,19.63633323,18.75826669,29.57994866,32.49217749,13.17158937,36.41164708,17.06537914,14.82051563,17.45888686,22.4634192,34.78038025,15.59091854
K300V100S4seed1,32.71332574,48.81637001,33.81411314,27.56168938,58.24467087,46.43243885,29.72634697,28.72667813,44.30711746,30.76481271,45.27070045,51.70321584
K300V100S4seed2,59.4661808,21.50540376,59.77232003,19.62540388,32.43894196,30.60164857,57.84751058,65.85002756,44.69796228,26.01264429,45.80596375,52.08195972
K300V100S4seed3,7.719974041,14.40844297,10.92656422,8.605988979,12.49732232,12.56776834,7.981301785,19.21997499,10.36349607,8.297378063,14.43636537,9.145950794
K300V100S4seed9,20.46047354,20.1234901,16.53582931,18.37006831,14.88132071,20.73560858,25.38910961,19.14461851,38.23053384,19.07815123,17.12275553,15.87427378
Avg.,28.00,24.72,30.13,21.33,26.25,29.35,27.60,29.55,31.01,21.32,31.48,28.88
K300V150S4seed0,29.44834805,21.54700208,30.64445734,31.64125061,26.38844037,22.78118563,35.10656357,28.55967379,23.38291669,31.62830615,21.28486967,25.73601151
K300V150S4seed1,62.81097269,34.50041056,83.16845775,48.03248858,31.55951166,20.51949763,25.72998762,24.17293262,34.83619499,41.62489676,25.47303486,45.14978004
K300V150S4seed2,42.10070658,16.57982159,22.69243741,14.27491236,31.02799225,22.62420106,30.98073053,22.39767671,17.73991013,15.84588552,34.17851996,18.35570359
K300V150S4seed3,13.25514793,12.10068774,9.469234943,13.21882129,8.880194187,13.30064583,9.355704546,12.56370544,11.29873729,10.48088145,14.20421267,13.1924715
K300V150S4seed9,18.99203277,13.1412704,13.99793768,8.334065199,18.18848848,20.43089581,19.71339059,10.74092627,23.64458513,13.68329811,19.90845084,20.7404983
Avg.,33.32,19.57,31.99,23.10,23.21,19.93,24.18,19.69,22.18,22.65,23.01,24.63
S4 Average,16.77,14.96,15.82,13.67,14.84,15.08,15.06,14.13,14.48,12.35,13.99,12.99
