Instance,BD algorithm runtime (s),
,without Vis,with Vis
K100V25S4seed0,11.8810842,6.284372807
K100V25S4seed1,3.453880072,2.452940226
K100V25S4seed2,10.62313962,8.060412884
K100V25S4seed3,2.199958086,2.041484118
K100V25S4seed9,4.730062962,3.25621891
Avg.,6.58,4.42
K100V40S4seed0,3.56419301,2.689944029
K100V40S4seed1,3.594974279,2.519127846
K100V40S4seed2,2.705692768,2.512527227
K100V40S4seed3,2.470357895,2.046966076
K100V40S4seed9,4.375739813,2.855082989
Avg.,3.34,2.52
K100V50S4seed0,4.063732862,2.632341146
K100V50S4seed1,3.013947964,2.444727898
K100V50S4seed2,2.949825048,2.522304058
K100V50S4seed3,3.015871048,2.019933224
K100V50S4seed9,3.584106922,2.881083012
Avg.,3.33,2.50
K200V50S4seed0,8.127071857,5.069664001
K200V50S4seed1,17.27240705,12.94313216
K200V50S4seed2,11.18757105,15.35522294
K200V50S4seed3,6.485959053,2.798498869
K200V50S4seed9,8.338530779,5.521767855
Avg.,10.28,8.34
K200V75S4seed0,6.164021969,3.006523132
K200V75S4seed1,10.08786893,3.511893034
K200V75S4seed2,10.593009,3.742137671
K200V75S4seed3,5.620055914,2.82886219
K200V75S4seed9,12.25206876,4.000676155
Avg.,8.94,3.42
K200V100S4seed0,4.469563961,3.059581041
K200V100S4seed1,11.29125381,3.642590046
K200V100S4seed2,11.31678009,2.900516033
K200V100S4seed3,5.420819998,2.894777775
K200V100S4seed9,8.611474276,3.475958109
Avg.,8.22,3.19
K300V75S4seed0,62.40443397,60.03224993
K300V75S4seed1,145.5905421,63.10995889
K300V75S4seed2,33.78527999,24.33368397
K300V75S4seed3,8.01927495,5.827142
K300V75S4seed9,12.17946386,5.494950294
Avg.,52.40,31.76
K300V100S4seed0,28.38144112,6.29696703
K300V100S4seed1,15.365587,19.31648898
K300V100S4seed2,27.71427011,12.53831506
K300V100S4seed3,11.89220285,3.180806875
K300V100S4seed9,7.600422144,3.354533195
Avg.,18.19,8.94
K300V150S4seed0,19.36668992,4.279304028
K300V150S4seed1,33.52430511,3.785262108
K300V150S4seed2,18.90320683,3.615051031
K300V150S4seed3,7.492469788,3.376279116
K300V150S4seed9,9.101303816,3.089203835
Avg.,17.68,3.63
S4 Average,14.33,7.64
