Instance,Original ,,,,WF,,,,CGLM,,,
,No VIs,VI-1,VI-2,VI1&2,No VIs,VI-1,VI-2,VI1&2,No VIs,VI-1,VI-2,VI1&2
K300V75S5seed9,17.27277422,8.088539839,14.55199194,12.70082521,14.41590858,11.9955864,8.865410328,11.38530922,14.61872244,17.14252257,17.492594,10.80264568
Avg.,21.30,19.95,20.80,23.26,16.64,16.12,11.80,24.77,19.36,21.24,20.12,21.55
K300V100S5seed0,9.394477129,9.015122175,8.504333258,7.69639945,9.06370616,9.256551743,10.44326329,7.9918015,8.995127201,9.334082365,9.553416014,7.604653597
K300V100S5seed1,35.94611883,34.40877724,24.41598082,28.73107052,42.28716111,13.61356926,58.70387673,29.60629702,22.18641281,25.83731008,24.14784241,24.17128158
K300V100S5seed2,30.61280394,22.01082635,18.91812086,18.31752586,19.05264091,19.83480024,23.54067302,18.4688375,25.35096407,11.43661714,14.46014714,19.8337965
K300V100S5seed3,7.049672842,6.644244432,5.511983633,5.008170605,6.268289328,5.924129963,5.738386869,8.800568581,6.897731304,7.428645372,4.853331804,5.880168438
K300V100S5seed9,16.26295137,14.65328956,15.63457322,14.15412974,12.01910257,13.5223403,16.29611135,12.58743167,15.51442099,14.02407074,15.92204881,20.05323553
Avg.,19.85,17.35,14.60,14.78,17.74,12.43,22.94,15.49,15.79,13.61,13.79,15.51
K300V150S5seed0,18.02038717,17.74953008,15.43260503,15.4261198,12.49954891,13.95609212,13.13939857,15.67016006,15.48857689,15.62344599,12.61664391,14.70223188
K300V150S5seed1,46.02767777,48.5315237,52.79896379,26.72196794,49.65341949,28.09186316,32.26907015,26.17970729,42.70881987,25.74055839,28.49115157,27.48478889
K300V150S5seed2,20.32548046,19.43557096,15.87299657,21.80655313,20.5719552,17.5072422,15.96166849,20.07735515,54.29560494,16.2818079,14.07458901,18.0635767
K300V150S5seed3,7.574453115,7.086431265,7.702586651,9.872678995,6.530630589,8.712871075,6.5095191,6.442625999,6.709232092,6.238747597,6.2447896,6.935138941
K300V150S5seed9,11.7309413,9.212394953,15.06027484,9.688301563,13.83595109,19.74338794,18.31084657,11.88316131,10.46693468,11.4046309,8.864523649,20.27680397
Avg.,20.74,20.40,21.37,16.70,20.62,17.60,17.24,16.05,25.93,15.06,14.06,17.49
S=5 Average,10.33,9.80,9.30,8.84,9.70,8.50,8.75,9.20,9.82,8.24,7.96,8.91
