Instance,Original,,,,WF,,,,CGLM,,,
,No VIs,VI-1,VI-2,VI-1&2,No VIs,VI-1,VI-2,VI-1&2,No VIs,VI-1,VI-2,VI-1&2
K100V25S3seed0,4.572355986,4.348198652,5.157006979,3.173630714,5.9523592,5.797841787,6.050694466,3.621891975,4.493019104,4.882068157,4.563824892,3.29482913
K100V25S3seed1,2.8222785,3.274718046,2.650857925,3.524735689,3.528805256,3.150362492,3.157901287,3.287575006,1.826168776,2.599214792,2.347252846,2.185332537
K100V25S3seed2,10.35639548,5.579571962,6.532577991,4.686614037,5.548509836,5.85442543,5.881796837,5.263126135,5.050479889,4.457468748,4.885667086,4.340172052
K100V25S3seed3,2.599637032,3.287042141,3.559906244,3.078273058,2.873630285,3.333819389,2.449951172,4.188596725,2.885988951,3.297774076,2.503174543,2.804309845
K100V25S3seed9,4.368992805,4.944943428,5.230671406,3.34322381,4.188709259,5.203942776,3.979265213,3.168844223,3.129318714,3.686958313,3.177234173,3.472886801
Avg.,4.94,4.29,4.63,3.56,4.42,4.67,4.30,3.91,3.48,3.78,3.50,3.22
K100V40S3seed0,6.944315672,7.009222984,7.500513792,6.31,8.072893858,6.188938379,5.523424387,4.523696661,6.097548723,6.814913273,4.693549156,6.664711714
K100V40S3seed1,2.920118332,2.836898565,2.710270882,2.57976675,2.9125247,2.793823242,3.813573122,2.438669443,2.34701848,2.67560482,1.738979101,1.588860273
K100V40S3seed2,6.466847181,5.313975334,7.650545835,4.910924911,6.060976982,5.00880599,6.031589508,4.894826889,5.008254766,4.446192265,5.375348568,3.933398247
K100V40S3seed3,2.758210659,5.909585476,2.711580276,3.291470528,3.167271614,4.501249313,2.895987511,3.408684492,2.898470879,2.558616638,3.714849949,3.125716209
K100V40S3seed9,7.087123632,5.221665859,4.962884903,5.38103652,5.11877799,5.340644121,4.959644318,4.556714058,4.631220102,4.354187489,4.397360563,3.501727104
Avg.,5.24,5.26,5.11,4.50,5.07,4.77,4.64,3.96,4.20,4.17,3.98,3.76
K100V50S3seed0,6.146421909,7.16643858,6.41815567,6.472786188,6.93543911,6.383406162,6.327303171,,6.16279459,4.587387085,5.618178368,4.74112916
K100V50S3seed1,3.824989319,3.439348459,2.194654226,2.094332457,2.931268215,3.272689581,3.083889723,3.039151669,2.719364643,2.280949354,1.624761581,1.966779232
K100V50S3seed2,6.444384813,5.030725479,5.444295406,5.59132576,6.44598341,5.156285524,7.245658159,5.167978048,4.97219944,4.406486511,6.84338212,4.559989691
K100V50S3seed3,3.279789448,3.209851265,3.274501562,2.985366106,3.800468922,3.67535305,3.464108706,3.233902216,2.799726725,3.365362167,5.531367064,2.716391325
K100V50S3seed9,4.707833767,5.09561348,6.214315891,5.151741028,5.903030634,5.423577547,5.145567179,5.781696081,4.56832552,4.038028717,4.072641373,3.484320402
Avg.,4.88,4.79,4.71,4.46,5.20,4.78,5.05,4.31,4.24,3.74,4.74,3.49
K200V50S3seed0,6.194695711,6.119584322,6.225252628,6.451211929,6.212658405,6.822407484,6.698078632,5.953265667,5.939646482,6.177573442,4.941094637,5.011173248
K200V50S3seed1,16.37164092,12.92352509,30.96081328,26.89915442,30.69051123,17.48278069,18.65431786,20.64219093,13.90122986,37.08900809,21.90276909,13.55461001
K200V50S3seed2,30.52459049,25.05182648,39.89747214,22.23121357,20.16819715,27.15876842,34.97537422,32.99774623,41.19901538,34.62589049,30.32134223,18.64347911
K200V50S3seed3,7.246290445,6.766030312,5.936295986,6.391987562,8.34659481,6.57852006,7.873109102,5.336724997,5.518924713,7.470960855,4.777179241,4.770911694
K200V50S3seed9,41.73891687,31.073982,32.48791552,22.70687509,46.04292393,29.95287323,32.16018867,39.72963381,31.35061455,30.04875612,24.64481449,17.23289394
Avg.,20.42,16.39,23.10,16.94,22.29,17.60,20.07,20.93,19.58,23.08,17.32,11.84
K200V75S3seed0,7.9971385,13.88421154,6.889342546,6.649449825,6.74783206,7.496255398,7.086776495,,6.224977493,5.581775904,8.070683479,11.86737275
K200V75S3seed1,11.23658395,8.889448166,15.32719016,15.95365071,9.359177589,8.701075315,14.95122647,7.726376295,14.90461636,14.99045801,6.370202065,13.95175123
K200V75S3seed2,9.205832958,9.8529706,8.405190468,6.381637812,10.64765787,7.706262589,16.4849174,7.042624235,7.418987513,7.295338392,11.88553166,9.517891407
K200V75S3seed3,7.1240201,7.080900669,7.602094173,6.270231962,29.28090906,6.024128199,13.24582815,6.182234526,6.636072159,5.818103313,6.126409769,5.025162697
K200V75S3seed9,13.84507561,6.836342096,7.62927556,7.367820978,28.49688435,14.38784194,21.52751231,11.32063317,9.722751141,9.502971649,9.329735518,7.125029802
Avg.,9.88,9.31,9.17,8.52,16.91,8.86,14.66,8.07,8.98,8.64,8.36,9.50
K200V100S3seed0,8.121414185,8.759281874,7.937078476,7.437533855,8.383823633,7.666975498,7.875339746,8.287270308,6.818253994,6.661515951,11.52123833,12.56603765
K200V100S3seed1,12.10937333,20.16910839,9.05151248,12.87624526,21.10452056,19.57536817,15.75358415,9.561060905,8.302145004,10.9595325,11.30986667,8.728268623
K200V100S3seed2,10.54086661,10.10230613,10.35250735,8.562649965,10.08344865,7.641546011,11.16971135,7.465842962,22.54762793,6.973803759,6.09398818,7.219055176
K200V100S3seed3,7.607661486,8.145854235,8.329209089,12.00126338,8.258110523,8.26137042,7.403146982,7.811448574,6.1192348,6.558676481,5.816411495,5.594988108
K200V100S3seed9,9.962987423,17.39404988,16.73592257,9.890582085,8.963438272,20.63987589,8.859194756,22.97605586,8.489003658,9.345732927,14.95007491,13.26029515
Avg.,9.67,12.91,10.48,10.15,11.36,12.76,10.21,11.22,10.46,8.10,9.94,9.47
K300V75S3seed0,33.12563586,25.76414704,21.5514946,45.69955063,31.5103147,32.31808233,35.511338,29.22620058,37.01096702,26.576051,32.83476639,25.08622742
K300V75S3seed1,44.39552236,48.94215298,62.58027482,29.48174882,49.51884985,55.61031246,49.87442183,47.01452136,44.79788399,56.0850563,45.65164471,43.46210909
K300V75S3seed2,75.51101446,56.90704012,74.84705567,25.34910965,52.76080823,52.07259798,68.7281158,57.65809584,54.46664262,58.6819458,53.46945548,50.77646565
K300V75S3seed3,7.069988728,8.353501558,6.487486601,6.984947205,12.92512321,7.198939323,6.509274721,7.608514786,7.396202803,8.271876335,11.28172994,6.909964085
K300V75S3seed9,9.838624239,10.76139212,33.82980967,11.34078979,12.68430662,18.60497665,8.618850708,15.4852922,11.29416728,,9.81401968,16.11317182
Avg.,33.99,30.15,39.86,23.77,31.88,33.16,33.85,31.40,30.99,37.40,30.61,28.47
K300V100S3seed0,36.82492995,15.4632566,17.22633767,18.48181319,39.96382117,15.27742887,16.7903018,13.52840829,47.29113221,35.58169031,25.0340476,13.21427608
K300V100S3seed1,24.14099431,27.32743239,28.39857244,23.11911082,62.2403729,28.27163839,22.24782944,26.04330659,13.69726181,30.13327932,41.14104199,25.2415812
K300V100S3seed2,25.38287926,20.35838819,30.22041249,28.80019093,20.23426867,12.36106825,32.91898704,21.92196608,31.75254846,27.08114219,21.75678587,31.14023614
K300V100S3seed3,8.871087313,9.601718426,8.720507622,7.481187105,7.746279955,7.829412937,14.17026591,7.569419861,7.659115553,9.840763569,8.546824455,6.692401886
K300V100S3seed9,35.83797455,13.98633885,12.22907162,21.78006721,15.13153553,14.47201753,14.24009752,10.71285319,10.41462016,13.10690761,8.54412818,9.51081872
Avg.,26.21,17.35,19.36,19.93,29.06,15.64,20.07,15.96,22.16,23.15,21.00,17.16
K300V150S3seed0,21.90886855,27.26754379,37.60350156,19.52672982,18.85222006,17.89046288,18.13435864,17.38628602,19.49179006,24.40963793,43.32793355,31.35788679
K300V150S3seed1,18.02870107,17.94001341,17.30933285,14.60805988,26.99777079,17.52859426,14.65503788,15.33440924,33.23008275,45.73526549,34.41403413,15.81873131
K300V150S3seed2,20.75840235,16.62794971,18.07299924,14.51745749,18.17301679,15.1251545,16.97177124,18.91165924,19.05737352,16.93834686,14.11991215,14.14773035
K300V150S3seed3,11.44816566,8.734585524,9.918548346,8.697052002,9.096693277,15.220963,9.399818659,9.061246395,9.258888245,14.96927929,7.55239892,7.761852503
K300V150S3seed9,10.56644559,13.00047421,11.99090958,12.06942511,16.84555554,11.92715669,9.635365486,9.513126373,20.68381047,14.28937864,8.89499259,8.063617945
Avg.,16.54,16.71,18.98,13.88,17.99,15.54,13.76,14.04,20.34,23.27,21.66,15.43
S=3 Average,14.64,13.02,15.04,11.75,16.02,13.09,14.07,12.64,13.83,15.04,13.46,11.37
