Instance,Gap,,Solution time (s),
,Solver,BD,Solver,BD
K400V100S5seed0,9.73%,8.35%,-,-
K400V100S5seed1,15.41%,9.85%,-,-
K400V100S5seed2,10.77%,6.46%,-,-
K400V100S5seed3,10.69%,13.71%,-,-
K400V100S5seed9,14.77%,6.89%,-,-
Avg.,12.27%,9.05%,-,-
K400V150S5seed0,11.27%,0.00%,-,938.9746802
K400V150S5seed1,16.48%,0.00%,-,717.0160425
K400V150S5seed2,16.27%,0.00%,-,540.136524
K400V150S5seed3,11.04%,0.99%,-,-
K400V150S5seed9,13.92%,0.00%,-,1350.486374
Avg.,13.79%,0.20%,-,886.65
K400V200S5seed0,11.73%,0.00%,-,947.2625608
K400V200S5seed1,18.56%,0.00%,-,271.3798521
K400V200S5seed2,17.35%,0.00%,-,655.5306208
K400V200S5seed3,12.41%,0.00%,-,232.4790647
K400V200S5seed9,14.93%,0.00%,-,399.7196698
Avg.,15.00%,0.00%,-,501.27
K600V150S5seed0,18.48%,11.45%,-,-
K600V150S5seed1,18.48%,4.89%,-,-
K600V150S5seed2,16.34%,5.62%,-,-
K600V150S5seed3,16.29%,6.31%,-,-
K600V150S5seed9,22.75%,8.64%,-,-
Avg.,18.47%,7.38%,-,-
K600V200S5seed0,19.48%,3.49%,-,-
K600V200S5seed1,18.86%,0.00%,-,954.0172639
K600V200S5seed2,15.83%,0.00%,-,1152.238054
K600V200S5seed3,17.33%,0.00%,-,1232.359088
K600V200S5seed9,20.59%,2.01%,-,-
Avg.,18.42%,1.10%,-,1112.87
K600V300S5seed0,18.41%,0.00%,-,308.0962236
K600V300S5seed1,18.46%,0.00%,-,803.4925566
K600V300S5seed2,17.43%,0.00%,-,1150.644771
K600V300S5seed3,16.82%,0.00%,-,530.848268
K600V300S5seed9,24.07%,0.00%,-,549.6213162
Avg.,19.04%,0.00%,-,668.54
K800V200S5seed0,18.48%,10.62%,-,-
K800V200S5seed1,24.12%,11.45%,-,-
K800V200S5seed2,23.41%,6.27%,-,-
K800V200S5seed3,27.28%,10.70%,-,-
K800V200S5seed9,21.16%,12.64%,-,-
Avg.,22.89%,10.34%,-,-
K800V300S5seed0,16.45%,0.00%,-,968.5800543
K800V300S5seed1,20.75%,2.36%,-,-
K800V300S5seed2,22.11%,0.00%,-,382.2183747
K800V300S5seed3,27.15%,0.00%,-,921.1366353
K800V300S5seed9,20.73%,0.00%,-,1097.664315
Avg.,21.44%,0.47%,-,842.40
K800V400S5seed0,21.22%,0.00%,-,912.3071315
K800V400S5seed1,22.22%,0.00%,-,445.1214454
K800V400S5seed2,22.93%,0.00%,-,299.7733285
K800V400S5seed3,24.21%,0.00%,-,592.9044032
K800V400S5seed9,20.00%,0.00%,-,804.0606508
Avg.,22.12%,0.00%,-,610.83
S=5 Average,18.16%,3.17%,-,770.43
