Instance,Gap,,Solution time (s),
,Solver,BD,Solver,BD
K400V100S3seed0,0.00%,0.00%,1559.169908,663.4982805
K400V100S3seed1,26.63%,0.00%,-,757.8835206
K400V100S3seed2,21.89%,0.00%,-,650.6919012
K400V100S3seed3,20.06%,0.00%,-,804.7449043
K400V100S3seed9,0.00%,0.00%,1698.939352,1020.453846
Avg.,13.72%,0.00%,1629.05,779.45
K400V150S3seed0,0.00%,0.00%,1096.598309,378.6462288
K400V150S3seed1,29.04%,0.00%,-,491.497556
K400V150S3seed2,0.00%,0.00%,807.6651459,481.5094953
K400V150S3seed3,18.85%,0.00%,-,452.2906559
K400V150S3seed9,25.60%,0.00%,-,481.1721978
Avg.,14.70%,0.00%,952.13,457.02
K400V200S3seed0,0.00%,0.00%,1518.454619,382.2245502
K400V200S3seed1,27.64%,0.00%,-,388.7459457
K400V200S3seed2,0.00%,0.00%,1400.651133,259.9367998
K400V200S3seed3,22.01%,0.00%,-,316.7076247
K400V200S3seed9,28.53%,0.00%,-,277.9576068
Avg.,15.64%,0.00%,1459.55,325.11
K600V150S3seed0,31.08%,10.90%,-,-
K600V150S3seed1,31.06%,0.00%,-,628.9532893
K600V150S3seed2,30.94%,9.27%,-,-
K600V150S3seed3,27.93%,0.00%,-,848.838505
K600V150S3seed9,35.71%,10.85%,-,-
Avg.,31.34%,6.20%,-,738.90
K600V200S3seed0,29.12%,0.00%,-,665.6534362
K600V200S3seed1,28.17%,0.00%,-,558.6602972
K600V200S3seed2,30.16%,0.00%,-,642.104605
K600V200S3seed3,28.97%,0.00%,-,644.0580628
K600V200S3seed9,34.75%,0.00%,-,762.2079828
Avg.,30.23%,0.00%,-,654.54
K600V300S3seed0,0.00%,0.00%,1483.469609,339.76214
K600V300S3seed1,0.00%,0.00%,1362.003529,467.3330541
K600V300S3seed2,0.00%,0.00%,1598.523069,358.1510816
K600V300S3seed3,30.26%,0.00%,-,333.3222394
K600V300S3seed9,0.00%,0.00%,1524.005027,274.8791397
Avg.,6.05%,0.00%,1492.00,354.69
K800V200S3seed0,30.95%,8.52%,-,-
K800V200S3seed1,35.41%,10.12%,-,-
K800V200S3seed2,28.61%,0.00%,-,1368.789757
K800V200S3seed3,34.84%,5.84%,-,-
K800V200S3seed9,31.24%,8.22%,-,-
Avg.,32.21%,6.54%,-,1368.79
K800V300S3seed0,31.27%,0.00%,-,649.9640334
K800V300S3seed1,0.00%,0.00%,1722.759227,663.6814194
K800V300S3seed2,0.00%,0.00%,1781.361011,601.6353164
K800V300S3seed3,32.00%,0.00%,-,674.4251916
K800V300S3seed9,0.00%,0.00%,1316.884033,369.8114822
Avg.,12.65%,0.00%,1607.00,591.90
K800V400S3seed0,0.00%,0.00%,1553.47822,332.0408316
K800V400S3seed1,32.63%,0.00%,-,329.976326
K800V400S3seed2,0.00%,0.00%,1422.884913,348.9994669
K800V400S3seed3,39.11%,0.00%,-,331.2870531
K800V400S3seed9,0.00%,0.00%,1677.726513,275.4244075
Avg.,14.35%,0.00%,1551.36,323.55
S=3 Average,18.99%,,1448.52,621.55
