num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
1,0,t1425,10,16,-1,4.8,3.8,1.46
1,0,t790,5,9,-1,3.0,2.0,0.682
1,0,t1221,17,3,-1,3.5999999999999996,2.5999999999999996,1.076
1,0,t1180,19,14,-1,3.3,2.3,0.8580000000000001
1,0,t392,9,6,-1,3.9,2.9,0.924
1,0,t1165,19,0,-1,6.0,5.0,2.074
1,0,t1421,10,1,-1,3.0,2.0,0.9420000000000001
1,0,t751,5,9,-1,3.0,2.0,0.682
1,0,t421,9,17,-1,3.3,2.3,0.758
1,0,t67,13,19,-1,7.5,6.5,2.656
1,0,t577,11,17,-1,6.0,5.0,1.9260000000000002
1,0,t1516,0,6,-1,5.3999999999999995,4.3999999999999995,1.22
1,0,t699,4,0,-1,5.7,4.7,1.2624000000000002
1,0,t207,7,14,-1,4.2,3.2,1.242
1,0,t1310,8,19,-1,6.8999999999999995,5.8999999999999995,2.3280000000000003
1,0,t1428,10,17,-1,5.1,4.1,1.6
1,0,t742,5,13,-1,6.3,5.3,1.6520000000000001
1,0,t912,1,3,-1,4.2,3.2,1.176
1,0,t1179,19,14,-1,3.3,2.3,0.8580000000000001
1,0,t82,6,7,-1,3.0,2.0,0.8140000000000001
1,0,t210,7,3,-1,5.3999999999999995,4.3999999999999995,1.7000000000000002
1,0,t1466,0,17,-1,3.0,2.0,0.638
1,0,t502,14,10,-1,5.3999999999999995,4.3999999999999995,1.6320000000000001
1,0,t941,1,7,-1,2.1,1.1,0.6360000000000001
1,0,t778,5,0,-1,4.5,3.5,1.03
1,0,t621,3,0,-1,4.5,3.5,0.868
1,0,t1183,19,3,-1,7.199999999999999,6.199999999999999,2.548
1,1,t284,12,14,0,7.199999999999999,7.199999999999999,1.908
1,1,t664,4,13,0,6.0,6.0,1.4660000000000002
1,1,t781,5,13,0,6.3,6.3,1.6520000000000001
1,1,t1118,16,19,0,3.9,3.9,1.2688000000000001
1,1,t210,7,3,0,5.3999999999999995,5.3999999999999995,1.7000000000000002
1,1,t1153,19,1,0,3.9,3.9,1.528
1,1,t226,7,17,0,6.0,6.0,1.9320000000000002
1,1,t108,6,17,0,7.199999999999999,7.199999999999999,1.6840000000000002
1,1,t67,13,19,0,7.5,7.5,2.656
1,1,t665,4,6,0,3.9,3.9,1.4080000000000001
1,1,t223,7,19,0,3.0,3.0,0.976
1,1,t533,14,16,0,3.0,3.0,0.916
1,1,t505,14,0,0,6.0,6.0,1.6480000000000001
1,1,t214,7,5,0,2.4,2.4,0.634
1,1,t1347,8,16,0,7.5,7.5,1.774
1,1,t145,6,19,0,3.0,3.0,0.796
1,1,t58,13,5,0,6.0,6.0,1.6239999999999999
1,1,t1186,19,5,0,3.5999999999999996,3.5999999999999996,0.986
1,1,t1092,16,13,0,5.3999999999999995,5.3999999999999995,1.4000000000000001
1,1,t53,13,3,0,3.9,3.9,0.886
1,1,t755,5,11,0,3.9,3.9,0.854
1,1,t586,3,13,0,3.9,3.9,0.8640000000000001
1,1,t625,3,13,0,3.9,3.9,0.8640000000000001
1,1,t887,15,19,0,3.5999999999999996,3.5999999999999996,0.954
1,1,t526,14,5,0,3.3,3.3,0.892
1,1,t655,3,17,0,3.3,3.3,1.018
1,1,t574,11,19,0,2.6999999999999997,2.6999999999999997,0.984
1,1,t1426,10,19,0,4.2,4.2,1.2936
1,1,t43,13,7,0,6.3,6.3,1.862
1,1,t847,15,19,0,3.5999999999999996,3.5999999999999996,0.954
1,1,t769,5,19,0,3.3,3.3,0.806
1,1,t391,9,13,0,4.5,4.5,1.2080000000000002
1,1,t169,7,11,0,1.5,1.5,0.53
1,1,t575,11,19,0,2.6999999999999997,2.6999999999999997,0.984
1,1,t460,9,17,0,3.3,3.3,0.758
1,1,t536,14,19,0,3.0,3.0,0.742
1,1,t293,12,15,0,6.0,6.0,1.2824
1,1,t55,13,4,0,6.0,6.0,1.4820000000000002
1,1,t146,6,19,0,3.0,3.0,0.796
1,1,t1168,19,13,0,7.5,7.5,2.692
1,1,t11,13,14,0,7.8,7.8,2.056
1,1,t622,3,0,0,4.5,4.5,0.868
1,1,t111,6,8,0,6.8999999999999995,6.8999999999999995,1.9960000000000002
1,1,t1142,19,14,0,3.3,3.3,0.8580000000000001
1,1,t1273,17,19,0,7.8,7.8,2.5860000000000003
1,1,t947,1,9,0,1.5,1.5,0.34600000000000003
1,1,t231,7,0,0,4.5,4.5,1.226
1,1,t1165,19,0,0,6.0,6.0,2.074
1,1,t549,11,6,0,4.2,4.2,1.066
1,1,t474,14,12,0,7.199999999999999,7.199999999999999,1.868
1,1,t1350,8,19,0,6.8999999999999995,6.8999999999999995,2.3280000000000003
1,1,t768,5,16,0,3.0,3.0,0.676
1,1,t1399,10,6,0,3.9,3.9,1.1580000000000001
1,1,t74,13,10,0,7.199999999999999,7.199999999999999,2.022
1,1,t286,12,11,0,7.8,7.8,2.294
1,1,t1178,19,9,0,4.2,4.2,1.7334
1,1,t1139,19,9,0,4.2,4.2,1.7334
1,1,t56,13,4,0,6.0,6.0,1.4820000000000002
1,1,t770,5,19,0,3.3,3.3,0.806
1,1,t206,7,14,0,4.2,4.2,1.242
1,1,t425,9,10,0,3.5999999999999996,3.5999999999999996,0.8900000000000001
1,1,t52,13,11,0,7.5,7.5,2.31
1,2,t18,13,5,0,6.0,6.0,1.6239999999999999
1,2,t577,11,17,0,6.0,6.0,1.9260000000000002
1,2,t1142,19,14,0,3.3,3.3,0.8580000000000001
1,2,t664,4,13,0,6.0,6.0,1.4660000000000002
1,2,t904,1,12,0,5.1,5.1,1.3090000000000002
1,2,t1141,19,14,0,3.3,3.3,0.8580000000000001
1,2,t1165,19,0,0,6.0,6.0,2.074
1,2,t1418,10,15,0,3.9,3.9,0.9880000000000001
1,2,t1179,19,14,0,3.3,3.3,0.8580000000000001
1,2,t1506,0,17,0,3.0,3.0,0.638
1,2,t625,3,13,0,3.9,3.9,0.8640000000000001
1,2,t898,1,13,0,4.8,4.8,1.3068
1,2,t63,13,18,0,4.2,4.2,1.1420000000000001
1,2,t785,5,7,0,2.4,2.4,0.588
1,2,t1201,19,10,0,4.5,4.5,1.3920000000000001
1,2,t484,14,4,0,3.0,3.0,0.802
1,2,t542,14,10,0,5.3999999999999995,5.3999999999999995,1.6320000000000001
1,2,t1424,10,16,0,4.8,4.8,1.46
1,2,t452,9,1,0,1.5,1.5,0.34400000000000003
1,2,t109,6,17,0,7.199999999999999,7.199999999999999,1.6840000000000002
1,2,t302,12,19,0,7.8,7.8,2.638
1,2,t573,11,16,0,5.1,5.1,1.6600000000000001
1,2,t69,13,17,0,5.3999999999999995,5.3999999999999995,1.6079999999999999
1,2,t1397,10,13,0,6.6,6.6,2.108
1,2,t1505,0,17,0,3.0,3.0,0.638
1,2,t558,11,14,0,5.3999999999999995,5.3999999999999995,1.462
1,2,t1177,19,9,0,4.2,4.2,1.7334
1,2,t526,14,5,0,3.3,3.3,0.892
1,2,t548,11,6,0,4.2,4.2,1.066
1,2,t536,14,19,0,3.0,3.0,0.742
1,2,t68,13,19,0,7.5,7.5,2.656
1,2,t1178,19,9,0,4.2,4.2,1.7334
1,2,t1267,17,1,0,5.1,5.1,1.252
1,2,t497,14,19,0,3.0,3.0,0.742
1,2,t223,7,19,0,3.0,3.0,0.976
1,2,t1407,10,9,0,3.3,3.3,1.1400000000000001
1,2,t755,5,11,0,3.9,3.9,0.854
1,2,t1295,8,11,0,4.5,4.5,1.26
1,2,t523,14,4,0,3.0,3.0,0.802
1,2,t1416,10,5,0,3.3,3.3,0.9279999999999999
1,2,t797,5,4,0,4.5,4.5,1.094
1,2,t1137,19,2,0,5.1,5.1,1.8420000000000003
1,2,t1398,10,13,0,6.6,6.6,2.108
1,2,t1356,8,0,0,4.5,4.5,1.098
1,2,t677,4,11,0,6.3,6.3,2.104
1,2,t1510,0,10,0,4.5,4.5,1.2400000000000002
1,2,t1475,0,13,0,4.2,4.2,0.9900000000000001
1,2,t1163,19,10,0,4.5,4.5,1.3920000000000001
1,2,t1148,19,5,0,3.5999999999999996,3.5999999999999996,0.986
1,2,t911,1,11,0,3.0,3.0,1.072
1,2,t1378,10,5,0,3.3,3.3,0.9279999999999999
1,2,t559,11,14,0,5.3999999999999995,5.3999999999999995,1.462
1,2,t926,1,19,0,3.3,3.3,1.4160000000000001
1,2,t1174,19,12,0,7.8,7.8,2.6940000000000004
1,2,t213,7,5,0,2.4,2.4,0.634
1,2,t572,11,16,0,5.1,5.1,1.6600000000000001
1,2,t569,11,1,0,3.3,3.3,1.154
1,2,t550,11,7,0,1.5,1.5,0.532
1,2,t757,5,3,0,5.7,5.7,1.512
1,2,t746,5,7,0,2.4,2.4,0.588
1,2,t1277,17,10,0,5.1,5.1,1.534
1,2,t614,3,19,0,7.199999999999999,7.199999999999999,2.5100000000000002
1,2,t1302,8,15,0,6.6,6.6,1.72
1,2,t214,7,5,0,2.4,2.4,0.634
1,2,t458,9,19,0,4.2,4.2,1.6920000000000002
1,2,t598,3,14,0,7.5,7.5,2.102
1,2,t809,5,19,0,3.3,3.3,0.806
1,2,t1400,10,6,0,3.9,3.9,1.1580000000000001
1,2,t570,11,18,0,6.3,6.3,4.8340000000000005
1,2,t296,12,1,0,5.1,5.1,1.2892000000000001
1,2,t1259,17,3,0,3.5999999999999996,3.5999999999999996,1.076
1,2,t1272,17,19,0,7.8,7.8,2.5860000000000003
1,2,t769,5,19,0,3.3,3.3,0.806
1,3,t223,7,19,0,3.0,3.0,0.976
1,3,t1111,16,5,0,2.6999999999999997,2.6999999999999997,0.678
1,3,t213,7,5,0,2.4,2.4,0.634
1,3,t1106,16,3,0,4.8,4.8,1.2666000000000002
1,3,t1275,17,8,0,3.0,3.0,0.8320000000000001
1,3,t1180,19,14,0,3.3,3.3,0.8580000000000001
1,3,t1264,17,15,0,6.6,6.6,1.54
1,3,t643,3,5,0,5.7,5.7,1.4800000000000002
1,3,t152,6,10,0,4.2,4.2,1.1460000000000001
1,3,t393,9,6,0,3.9,3.9,0.924
1,3,t149,6,8,0,6.8999999999999995,6.8999999999999995,1.9960000000000002
1,3,t718,4,3,0,6.3,6.3,1.6260000000000003
1,3,t206,7,14,0,4.2,4.2,1.242
1,3,t59,13,15,0,6.0,6.0,1.564
1,3,t1436,0,13,0,4.2,4.2,0.9900000000000001
1,3,t20,13,15,0,6.0,6.0,1.564
1,3,t749,5,2,0,3.5999999999999996,3.5999999999999996,0.918
1,3,t274,12,13,0,3.0,3.0,0.642
1,3,t50,13,14,0,7.8,7.8,2.056
1,3,t235,12,13,0,3.0,3.0,0.642
1,3,t395,9,7,0,3.0,3.0,0.772
1,3,t509,14,6,0,3.0,3.0,0.784
1,3,t742,5,13,0,6.3,6.3,1.6520000000000001
1,3,t576,11,17,0,6.0,6.0,1.9260000000000002
1,3,t52,13,11,0,7.5,7.5,2.31
1,3,t832,15,14,0,3.0,3.0,0.926
1,3,t947,1,9,0,1.5,1.5,0.34600000000000003
1,3,t1159,19,17,0,7.5,7.5,2.474
1,3,t1201,19,10,0,4.5,4.5,1.3920000000000001
