per_min_fee,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
0.2,0,t154,6,0,0,3.8000000000000003,3.8000000000000003,1.308
0.2,0,t1181,19,11,2,2.0,4.0,1.02
0.2,0,t673,4,9,1,3.4000000000000004,4.4,1.234
0.2,0,t352,2,13,-1,2.6,1.6,0.8160000000000001
0.2,0,t859,15,13,2,3.8000000000000003,5.800000000000001,1.558
0.2,0,t1102,16,9,0,2.2,2.2,0.808
0.2,0,t575,11,19,2,1.8,3.8,0.984
0.2,0,t274,12,13,0,2.0,2.0,0.642
0.2,0,t533,14,16,1,2.0,3.0,0.916
0.2,0,t1186,19,5,1,2.4000000000000004,3.4000000000000004,0.986
0.2,0,t1188,19,15,1,2.8000000000000003,3.8000000000000003,1.1300000000000001
0.2,0,t1400,10,6,2,2.6,4.6,1.1580000000000001
0.2,0,t497,14,19,2,2.0,4.0,0.742
0.2,0,t254,12,15,1,4.0,5.0,1.2824
0.2,0,t1259,17,3,2,2.4000000000000004,4.4,1.076
0.2,0,t1080,16,19,2,2.6,4.6,1.2688000000000001
0.2,0,t547,11,13,2,4.6000000000000005,6.6000000000000005,2.2960000000000003
0.2,0,t57,13,5,2,4.0,6.0,1.6239999999999999
0.2,0,t1152,19,1,0,2.6,2.6,1.528
0.2,0,t806,5,16,0,2.0,2.0,0.676
0.2,0,t54,13,3,1,2.6,3.6,0.886
0.2,0,t1105,16,11,0,3.6,3.6,1.516
0.2,0,t1475,0,13,1,2.8000000000000003,3.8000000000000003,0.9900000000000001
0.2,0,t224,7,19,2,2.0,4.0,0.976
0.2,0,t1244,17,13,2,3.6,5.6,1.568
0.2,0,t1201,19,10,1,3.0,4.0,1.3920000000000001
0.2,0,t1506,0,17,0,2.0,2.0,0.638
0.2,0,t549,11,6,2,2.8000000000000003,4.800000000000001,1.066
0.2,0,t471,14,6,2,2.0,4.0,0.784
0.2,0,t1224,17,5,-1,4.2,3.2,1.57
0.2,0,t1173,19,12,2,5.2,7.2,2.6940000000000004
0.2,0,t55,13,4,2,4.0,6.0,1.4820000000000002
0.2,0,t537,14,17,-1,5.6000000000000005,4.6000000000000005,2.402
0.2,0,t49,13,9,2,3.2,5.2,1.202
0.2,0,t440,9,14,1,3.4000000000000004,4.4,1.6440000000000001
0.2,0,t41,13,6,0,4.800000000000001,4.800000000000001,1.8840000000000001
0.2,0,t535,14,19,2,2.0,4.0,0.742
0.2,0,t1532,0,5,-1,2.8000000000000003,1.8000000000000003,0.97
0.2,0,t342,2,17,2,3.0,5.0,1.192
0.2,0,t1172,19,7,2,2.2,4.2,1.074
0.2,0,t60,13,15,0,4.0,4.0,1.564
0.2,0,t854,15,10,2,2.6,4.6,0.8960000000000001
0.2,0,t1276,17,10,1,3.4000000000000004,4.4,1.534
0.2,0,t749,5,2,-1,2.4000000000000004,1.4000000000000004,0.918
0.2,0,t905,1,2,0,2.2,2.2,0.8980000000000001
0.2,0,t1255,17,14,0,5.6000000000000005,5.6000000000000005,2.604
0.2,0,t1086,16,10,2,3.4000000000000004,5.4,1.2380000000000002
0.2,0,t1225,17,5,-1,4.2,3.2,1.57
0.2,0,t691,4,19,1,2.8000000000000003,3.8000000000000003,1.47
0.2,0,t520,14,11,2,3.6,5.6,1.7356000000000003
0.2,0,t525,14,5,0,2.2,2.2,0.892
0.2,0,t811,5,17,2,4.0,6.0,1.4246
0.2,0,t622,3,0,2,3.0,5.0,0.868
0.2,0,t1175,19,2,1,3.4000000000000004,4.4,1.8420000000000003
0.2,0,t475,14,12,0,4.800000000000001,4.800000000000001,1.868
0.2,0,t42,13,7,-1,4.2,3.2,1.862
0.2,0,t77,13,0,-1,3.2,2.2,1.014
0.2,0,t152,6,10,-1,2.8000000000000003,1.8000000000000003,1.1460000000000001
0.2,0,t1167,19,13,-1,5.0,4.0,2.692
0.2,0,t625,3,13,2,2.6,4.6,0.8640000000000001
0.2,0,t576,11,17,2,4.0,6.0,1.9260000000000002
0.2,0,t922,1,18,0,3.8000000000000003,3.8000000000000003,1.8378
0.2,0,t487,14,5,0,2.2,2.2,0.892
0.2,0,t330,2,5,2,2.4000000000000004,4.4,0.9119999999999999
0.2,0,t1449,0,11,2,3.6,5.6,1.56
0.2,0,t517,14,9,2,3.4000000000000004,5.4,1.4300000000000002
0.2,0,t792,5,14,0,2.2,2.2,0.894
0.2,0,t643,3,5,2,3.8000000000000003,5.800000000000001,1.4800000000000002
0.2,0,t418,9,19,2,2.8000000000000003,4.800000000000001,1.6920000000000002
0.2,0,t512,14,7,1,2.8000000000000003,3.8000000000000003,1.302
0.2,0,t469,14,13,1,5.2,6.2,2.024
0.2,0,t212,7,4,1,3.4000000000000004,4.4,1.89
0.2,0,t1330,8,9,2,2.8000000000000003,4.800000000000001,1.1119999999999999
0.2,0,t694,4,17,2,4.4,6.4,1.8440000000000003
0.2,0,t1256,17,14,0,5.6000000000000005,5.6000000000000005,2.604
0.2,0,t769,5,19,2,2.2,4.2,0.806
0.2,0,t214,7,5,2,1.6,3.6,0.634
0.2,0,t51,13,14,2,5.2,7.2,2.056
0.2,0,t1273,17,19,1,5.2,6.2,2.5860000000000003
0.2,0,t1191,19,1,0,2.6,2.6,1.528
0.2,0,t215,7,15,0,2.2,2.2,0.756
0.2,0,t72,13,8,1,4.800000000000001,5.800000000000001,1.954
0.2,0,t11,13,14,2,5.2,7.2,2.056
0.2,0,t833,15,11,2,2.8000000000000003,4.800000000000001,1.1720000000000002
