per_min_fee,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
0.2,0,t613,3,19,1,4.800000000000001,5.800000000000001,2.5100000000000002
0.2,0,t470,14,6,1,2.0,3.0,0.784
0.2,0,t952,1,3,-1,2.8000000000000003,1.8000000000000003,1.176
0.2,0,t121,6,7,1,2.0,3.0,0.8140000000000001
0.2,1,t1136,19,12,-1,5.2,4.2,2.6940000000000004
0.2,1,t834,15,3,2,3.6,5.6,1.412
0.2,1,t284,12,14,2,4.800000000000001,6.800000000000001,1.908
0.2,1,t1267,17,1,2,3.4000000000000004,5.4,1.252
0.2,1,t1277,17,10,2,3.4000000000000004,5.4,1.534
0.2,1,t595,3,9,1,3.0,4.0,1.09
0.2,1,t664,4,13,-1,4.0,3.0,1.4660000000000002
0.2,1,t781,5,13,2,4.2,6.2,1.6520000000000001
0.2,1,t1118,16,19,2,2.6,4.6,1.2688000000000001
0.2,1,t1432,10,0,2,3.2,5.2,1.1826
0.2,1,t463,9,10,0,2.4000000000000004,2.4000000000000004,0.8900000000000001
0.2,1,t226,7,17,2,4.0,6.0,1.9320000000000002
0.2,1,t675,4,14,-1,2.0,1.0,0.8039999999999999
0.2,1,t1197,19,17,2,5.0,7.0,2.474
0.2,1,t263,12,19,1,5.2,6.2,2.638
0.2,1,t559,11,14,1,3.6,4.6,1.462
0.2,1,t1152,19,1,-1,2.6,1.6,1.528
0.2,1,t67,13,19,2,5.0,7.0,2.656
0.2,1,t1251,17,2,-1,3.4000000000000004,2.4000000000000004,1.36
0.2,1,t1210,17,7,2,4.0,6.0,1.846
0.2,1,t1454,0,5,1,2.8000000000000003,3.8000000000000003,0.97
0.2,1,t1310,8,19,1,4.6000000000000005,5.6000000000000005,2.3280000000000003
0.2,1,t223,7,19,1,2.0,3.0,0.976
0.2,1,t77,13,0,-1,3.2,2.2,1.014
0.2,1,t1505,0,17,2,2.0,4.0,0.638
0.2,1,t1163,19,10,-1,3.0,2.0,1.3920000000000001
0.2,1,t118,6,13,2,4.800000000000001,6.800000000000001,1.9100000000000001
0.2,1,t291,12,5,2,4.2,6.2,1.602
0.2,1,t1187,19,5,2,2.4000000000000004,4.4,0.986
0.2,1,t214,7,5,1,1.6,2.6,0.634
0.2,1,t1205,17,13,1,3.6,4.6,1.568
0.2,1,t205,7,9,0,1.8,1.8,0.91
0.2,1,t1246,17,6,-1,5.0,4.0,1.834
0.2,1,t850,15,17,-1,4.0,3.0,1.3900000000000001
0.2,1,t145,6,19,1,2.0,3.0,0.796
0.2,1,t58,13,5,0,4.0,4.0,1.6239999999999999
0.2,1,t127,6,9,-1,2.8000000000000003,1.8000000000000003,0.952
0.2,1,t1186,19,5,2,2.4000000000000004,4.4,0.986
0.2,1,t13,13,11,2,5.0,7.0,2.31
0.2,1,t1300,8,5,-1,4.0,3.0,1.64
0.2,1,t640,3,4,-1,4.2,3.2,1.6239999999999999
0.2,1,t994,18,5,2,4.800000000000001,6.800000000000001,2.172
0.2,1,t49,13,9,0,3.2,3.2,1.202
0.2,1,t1266,17,1,2,3.4000000000000004,5.4,1.252
0.2,1,t1492,0,4,0,3.4000000000000004,3.4000000000000004,1.318
0.2,1,t689,4,16,-1,2.0,1.0,0.7280000000000001
0.2,1,t1352,8,17,0,2.2,2.2,0.9039999999999999
0.2,1,t1188,19,15,-1,2.8000000000000003,1.8000000000000003,1.1300000000000001
0.2,1,t1362,10,6,2,2.6,4.6,1.1580000000000001
0.2,1,t814,5,10,2,2.2,4.2,0.828
0.2,1,t635,3,9,1,3.0,4.0,1.09
0.2,1,t1170,19,6,2,2.4000000000000004,4.4,0.968
0.2,1,t53,13,3,0,2.6,2.6,0.886
0.2,1,t1221,17,3,1,2.4000000000000004,3.4000000000000004,1.076
0.2,1,t755,5,11,2,2.6,4.6,0.854
0.2,1,t586,3,13,1,2.6,3.6,0.8640000000000001
0.2,1,t1298,8,4,2,5.800000000000001,7.800000000000001,2.9280000000000004
0.2,1,t631,3,12,2,2.8000000000000003,4.800000000000001,0.8660000000000001
0.2,1,t625,3,13,1,2.6,3.6,0.8640000000000001
0.2,1,t583,11,0,1,3.8000000000000003,4.800000000000001,1.616
0.2,1,t1440,0,7,1,3.0,4.0,1.064
0.2,1,t1514,0,13,1,2.8000000000000003,3.8000000000000003,0.9900000000000001
0.2,1,t442,9,11,1,2.6,3.6,1.348
0.2,1,t1254,17,9,-1,2.4000000000000004,1.4000000000000004,0.902
0.2,1,t911,1,11,0,2.0,2.0,1.072
0.2,1,t542,14,10,0,3.6,3.6,1.6320000000000001
0.2,1,t405,9,3,0,2.8000000000000003,2.8000000000000003,1.068
0.2,1,t526,14,5,2,2.2,4.2,0.892
0.2,1,t527,14,15,0,2.0,2.0,0.9140000000000001
0.2,1,t1183,19,3,2,4.800000000000001,6.800000000000001,2.548
0.2,1,t655,3,17,2,2.2,4.2,1.018
0.2,1,t585,3,13,1,2.6,3.6,0.8640000000000001
0.2,1,t574,11,19,2,1.8,3.8,0.984
0.2,1,t965,1,19,2,2.2,4.2,1.4160000000000001
0.2,1,t207,7,14,1,2.8000000000000003,3.8000000000000003,1.242
0.2,1,t1426,10,19,2,2.8000000000000003,4.800000000000001,1.2936
0.2,1,t43,13,7,2,4.2,6.2,1.862
0.2,1,t1479,0,7,1,3.0,4.0,1.064
0.2,1,t847,15,19,2,2.4000000000000004,4.4,0.954
0.2,1,t1194,19,16,-1,2.6,1.6,1.478
0.2,1,t815,5,10,2,2.2,4.2,0.828
0.2,1,t1141,19,14,0,2.2,2.2,0.8580000000000001
0.2,1,t769,5,19,2,2.2,4.2,0.806
0.2,1,t391,9,13,1,3.0,4.0,1.2080000000000002
0.2,1,t491,14,1,0,2.8000000000000003,2.8000000000000003,1.2000000000000002
0.2,1,t303,12,17,1,3.6,4.6,1.3860000000000001
0.2,1,t365,2,3,-1,2.8000000000000003,1.8000000000000003,0.962
0.2,1,t575,11,19,2,1.8,3.8,0.984
