num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
1,0,t1181,19,11,0,3.0,3.0,1.02
1,0,t673,4,9,0,5.1,5.1,1.234
1,0,t859,15,13,0,5.7,5.7,1.558
1,0,t575,11,19,0,2.6999999999999997,2.6999999999999997,0.984
1,0,t533,14,16,0,3.0,3.0,0.916
1,0,t1186,19,5,0,3.5999999999999996,3.5999999999999996,0.986
1,0,t1400,10,6,0,3.9,3.9,1.1580000000000001
1,0,t497,14,19,0,3.0,3.0,0.742
1,0,t1259,17,3,0,3.5999999999999996,3.5999999999999996,1.076
1,0,t567,11,15,0,4.2,4.2,1.1868
1,0,t1080,16,19,0,3.9,3.9,1.2688000000000001
1,0,t547,11,13,0,6.8999999999999995,6.8999999999999995,2.2960000000000003
1,0,t57,13,5,0,6.0,6.0,1.6239999999999999
1,0,t54,13,3,0,3.9,3.9,0.886
1,0,t1475,0,13,0,4.2,4.2,0.9900000000000001
1,0,t224,7,19,0,3.0,3.0,0.976
1,0,t1244,17,13,0,5.3999999999999995,5.3999999999999995,1.568
1,0,t549,11,6,0,4.2,4.2,1.066
1,0,t471,14,6,0,3.0,3.0,0.784
1,0,t1173,19,12,0,7.8,7.8,2.6940000000000004
1,0,t55,13,4,0,6.0,6.0,1.4820000000000002
1,0,t49,13,9,0,4.8,4.8,1.202
1,0,t41,13,6,0,7.199999999999999,7.199999999999999,1.8840000000000001
1,0,t535,14,19,0,3.0,3.0,0.742
1,0,t342,2,17,0,4.5,4.5,1.192
1,0,t1172,19,7,0,3.3,3.3,1.074
1,0,t854,15,10,0,3.9,3.9,0.8960000000000001
1,0,t1086,16,10,0,5.1,5.1,1.2380000000000002
1,0,t520,14,11,0,5.3999999999999995,5.3999999999999995,1.7356000000000003
1,0,t525,14,5,0,3.3,3.3,0.892
1,0,t811,5,17,0,6.0,6.0,1.4246
1,0,t622,3,0,0,4.5,4.5,0.868
1,0,t625,3,13,0,3.9,3.9,0.8640000000000001
1,0,t576,11,17,0,6.0,6.0,1.9260000000000002
1,0,t330,2,5,0,3.5999999999999996,3.5999999999999996,0.9119999999999999
