num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
3,0,t731,4,19,1,4.2,5.2,1.47
3,0,t265,12,17,0,5.3999999999999995,5.3999999999999995,1.3860000000000001
3,0,t770,5,19,1,3.3,4.3,0.806
3,1,t1108,16,4,1,2.6999999999999997,3.6999999999999997,0.686
3,1,t1267,17,1,-1,5.1,4.1,1.252
3,1,t123,6,12,0,7.199999999999999,7.199999999999999,1.6059999999999999
3,1,t1245,17,6,-1,7.5,6.5,1.834
3,1,t1277,17,10,0,5.1,5.1,1.534
3,1,t518,14,9,0,5.1,5.1,1.4300000000000002
3,1,t1118,16,19,0,3.9,3.9,1.2688000000000001
3,1,t210,7,3,0,5.3999999999999995,5.3999999999999995,1.7000000000000002
3,1,t1528,0,3,1,3.5999999999999996,4.6,0.8420000000000001
3,1,t226,7,17,-1,6.0,5.0,1.9320000000000002
3,1,t780,5,13,0,6.3,6.3,1.6520000000000001
3,1,t559,11,14,2,5.3999999999999995,7.3999999999999995,1.462
3,1,t67,13,19,0,7.5,7.5,2.656
3,1,t533,14,16,0,3.0,3.0,0.916
3,1,t484,14,4,0,3.0,3.0,0.802
3,1,t1526,0,14,0,6.3,6.3,1.6820000000000002
3,1,t118,6,13,0,7.199999999999999,7.199999999999999,1.9100000000000001
3,1,t505,14,0,0,6.0,6.0,1.6480000000000001
3,1,t850,15,17,2,6.0,8.0,1.3900000000000001
3,1,t832,15,14,0,3.0,3.0,0.926
3,1,t830,15,9,1,2.6999999999999997,3.6999999999999997,0.6480000000000001
3,1,t1186,19,5,2,3.5999999999999996,5.6,0.986
3,1,t419,9,19,0,4.2,4.2,1.6920000000000002
3,1,t1352,8,17,0,3.3,3.3,0.9039999999999999
3,1,t637,3,14,0,7.5,7.5,2.102
3,1,t1092,16,13,1,5.3999999999999995,6.3999999999999995,1.4000000000000001
3,1,t1170,19,6,2,3.5999999999999996,5.6,0.968
3,1,t1327,8,12,0,7.5,7.5,1.8556000000000001
3,1,t53,13,3,1,3.9,4.9,0.886
3,1,t755,5,11,2,3.9,5.9,0.854
3,1,t749,5,2,0,3.5999999999999996,3.5999999999999996,0.918
3,1,t476,14,2,0,4.2,4.2,1.304
3,1,t224,7,19,2,3.0,5.0,0.976
3,1,t442,9,11,0,3.9,3.9,1.348
3,1,t1254,17,9,0,3.5999999999999996,3.5999999999999996,0.902
3,1,t911,1,11,2,3.0,5.0,1.072
3,1,t542,14,10,-1,5.3999999999999995,4.3999999999999995,1.6320000000000001
3,1,t811,5,17,-1,6.0,5.0,1.4246
3,1,t527,14,15,0,3.0,3.0,0.9140000000000001
3,1,t1196,19,17,-1,7.5,6.5,2.474
3,1,t655,3,17,2,3.3,5.3,1.018
3,1,t587,3,6,0,6.8999999999999995,6.8999999999999995,1.752
3,1,t574,11,19,2,2.6999999999999997,4.699999999999999,0.984
3,1,t207,7,14,2,4.2,6.2,1.242
3,1,t1389,10,19,-1,4.2,3.2,1.2936
3,1,t1426,10,19,-1,4.2,3.2,1.2936
3,1,t43,13,7,0,6.3,6.3,1.862
3,1,t1479,0,7,0,4.5,4.5,1.064
3,1,t847,15,19,0,3.5999999999999996,3.5999999999999996,0.954
3,1,t1286,8,7,-1,4.5,3.5,1.2756
3,1,t479,14,9,0,5.1,5.1,1.4300000000000002
3,1,t1194,19,16,0,3.9,3.9,1.478
3,1,t815,5,10,-1,3.3,2.3,0.828
3,1,t769,5,19,2,3.3,5.3,0.806
3,1,t1264,17,15,0,6.6,6.6,1.54
3,1,t391,9,13,1,4.5,5.5,1.2080000000000002
3,1,t497,14,19,2,3.0,5.0,0.742
3,1,t685,4,1,0,4.2,4.2,1.028
3,1,t772,5,17,-1,6.0,5.0,1.4246
3,1,t575,11,19,2,2.6999999999999997,4.699999999999999,0.984
3,1,t536,14,19,2,3.0,5.0,0.742
3,1,t1417,10,5,-1,3.3,2.3,0.9279999999999999
3,1,t293,12,15,1,6.0,7.0,1.2824
3,1,t55,13,4,1,6.0,7.0,1.4820000000000002
3,1,t556,11,9,0,3.5999999999999996,3.5999999999999996,1.354
3,1,t1256,17,14,-1,8.4,7.4,2.604
3,1,t146,6,19,2,3.0,5.0,0.796
3,1,t1168,19,13,0,7.5,7.5,2.692
3,1,t407,9,4,1,4.8,5.8,1.2300000000000002
3,1,t952,1,3,0,4.2,4.2,1.176
3,1,t331,2,5,0,3.5999999999999996,3.5999999999999996,0.9119999999999999
3,1,t1140,19,9,0,4.2,4.2,1.7334
3,1,t1248,17,7,-1,6.0,5.0,1.846
3,1,t1273,17,19,-1,7.8,6.8,2.5860000000000003
3,1,t1165,19,0,0,6.0,6.0,2.074
3,1,t549,11,6,2,4.2,6.2,1.066
3,1,t1350,8,19,-1,6.8999999999999995,5.8999999999999995,2.3280000000000003
3,1,t508,14,13,0,7.8,7.8,2.024
3,1,t61,13,1,0,4.8,4.8,1.2846000000000002
3,1,t1399,10,6,-1,3.9,2.9,1.1580000000000001
3,1,t932,1,10,-1,3.0,2.0,0.79
3,1,t953,1,4,0,4.5,4.5,1.032
3,1,t1178,19,9,0,4.2,4.2,1.7334
