num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
2,0,t1181,19,11,2,3.0,5.0,1.02
2,0,t352,2,13,2,3.9,5.9,0.8160000000000001
2,0,t859,15,13,2,5.7,7.7,1.558
2,0,t575,11,19,2,2.6999999999999997,4.699999999999999,0.984
2,0,t1186,19,5,2,3.5999999999999996,5.6,0.986
2,0,t1188,19,15,-1,4.2,3.2,1.1300000000000001
2,0,t1259,17,3,2,3.5999999999999996,5.6,1.076
2,0,t831,15,14,-1,3.0,2.0,0.926
2,0,t518,14,9,-1,5.1,4.1,1.4300000000000002
2,0,t1080,16,19,-1,3.9,2.9,1.2688000000000001
2,0,t547,11,13,-1,6.8999999999999995,5.8999999999999995,2.2960000000000003
2,0,t57,13,5,-1,6.0,5.0,1.6239999999999999
2,0,t54,13,3,2,3.9,5.9,0.886
2,0,t1177,19,9,-1,4.2,3.2,1.7334
2,0,t1433,10,0,-1,4.8,3.8,1.1826
2,0,t815,5,10,2,3.3,5.3,0.828
2,0,t1105,16,11,-1,5.3999999999999995,4.3999999999999995,1.516
2,0,t898,1,13,-1,4.8,3.8,1.3068
2,0,t932,1,10,2,3.0,5.0,0.79
2,0,t1493,0,5,-1,4.2,3.2,0.97
2,0,t41,13,6,-1,7.199999999999999,6.199999999999999,1.8840000000000001
2,0,t535,14,19,2,3.0,5.0,0.742
2,0,t1172,19,7,2,3.3,5.3,1.074
2,0,t854,15,10,-1,3.9,2.9,0.8960000000000001
2,0,t1276,17,10,-1,5.1,4.1,1.534
2,0,t724,4,1,-1,4.2,3.2,1.028
2,0,t520,14,11,2,5.3999999999999995,7.3999999999999995,1.7356000000000003
2,0,t525,14,5,2,3.3,5.3,0.892
2,0,t811,5,17,-1,6.0,5.0,1.4246
2,0,t1195,19,16,-1,3.9,2.9,1.478
2,0,t1202,19,0,-1,6.0,5.0,2.074
2,0,t1490,0,3,2,3.5999999999999996,5.6,0.8420000000000001
2,0,t418,9,19,-1,4.2,3.2,1.6920000000000002
2,0,t512,14,7,2,4.2,6.2,1.302
2,0,t469,14,13,-1,7.8,6.8,2.024
2,0,t619,3,10,-1,6.8999999999999995,5.8999999999999995,1.8800000000000001
2,0,t1256,17,14,-1,8.4,7.4,2.604
2,0,t769,5,19,2,3.3,5.3,0.806
2,0,t214,7,5,2,2.4,4.4,0.634
2,0,t51,13,14,-1,7.8,6.8,2.056
2,0,t705,4,6,-1,3.9,2.9,1.4080000000000001
2,0,t1273,17,19,-1,7.8,6.8,2.5860000000000003
2,0,t481,14,11,2,5.3999999999999995,7.3999999999999995,1.7356000000000003
2,0,t1486,0,14,-1,6.3,5.3,1.6820000000000002
2,0,t1104,16,14,-1,2.6999999999999997,1.6999999999999997,0.87
2,0,t443,9,3,2,4.2,6.2,1.068
2,0,t1184,19,4,-1,4.2,3.2,1.62
2,0,t540,14,8,-1,8.1,7.1,2.404
2,0,t1143,19,11,2,3.0,5.0,1.02
2,0,t820,15,13,2,5.7,7.7,1.558
2,0,t613,3,19,-1,7.199999999999999,6.199999999999999,2.5100000000000002
2,1,t834,15,3,-1,5.3999999999999995,4.3999999999999995,1.412
2,1,t284,12,14,-1,7.199999999999999,6.199999999999999,1.908
2,1,t1267,17,1,-1,5.1,4.1,1.252
2,1,t790,5,9,-1,3.0,2.0,0.682
2,1,t1277,17,10,2,5.1,7.1,1.534
2,1,t595,3,9,-1,4.5,3.5,1.09
2,1,t781,5,13,-1,6.3,5.3,1.6520000000000001
2,1,t1118,16,19,-1,3.9,2.9,1.2688000000000001
2,1,t1432,10,0,-1,4.8,3.8,1.1826
2,1,t463,9,10,-1,3.5999999999999996,2.5999999999999996,0.8900000000000001
2,1,t226,7,17,2,6.0,8.0,1.9320000000000002
2,1,t559,11,14,-1,5.3999999999999995,4.3999999999999995,1.462
2,1,t67,13,19,-1,7.5,6.5,2.656
2,1,t1454,0,5,-1,4.2,3.2,0.97
2,1,t1505,0,17,-1,3.0,2.0,0.638
2,1,t118,6,13,-1,7.199999999999999,6.199999999999999,1.9100000000000001
2,1,t291,12,5,-1,6.3,5.3,1.602
2,1,t1187,19,5,2,3.5999999999999996,5.6,0.986
2,1,t1205,17,13,-1,5.3999999999999995,4.3999999999999995,1.568
2,1,t205,7,9,-1,2.6999999999999997,1.6999999999999997,0.91
2,1,t145,6,19,-1,3.0,2.0,0.796
2,1,t1186,19,5,2,3.5999999999999996,5.6,0.986
2,1,t13,13,11,-1,7.5,6.5,2.31
2,1,t994,18,5,2,7.199999999999999,9.2,2.172
2,1,t49,13,9,-1,4.8,3.8,1.202
2,1,t1266,17,1,-1,5.1,4.1,1.252
2,1,t1352,8,17,-1,3.3,2.3,0.9039999999999999
2,1,t1362,10,6,-1,3.9,2.9,1.1580000000000001
2,1,t814,5,10,2,3.3,5.3,0.828
2,1,t635,3,9,-1,4.5,3.5,1.09
2,1,t1170,19,6,-1,3.5999999999999996,2.5999999999999996,0.968
2,1,t53,13,3,-1,3.9,2.9,0.886
2,1,t1221,17,3,-1,3.5999999999999996,2.5999999999999996,1.076
2,1,t755,5,11,2,3.9,5.9,0.854
2,1,t412,9,1,-1,1.5,0.5,0.34400000000000003
2,1,t586,3,13,-1,3.9,2.9,0.8640000000000001
2,1,t1298,8,4,-1,8.7,7.699999999999999,2.9280000000000004
2,1,t631,3,12,-1,4.2,3.2,0.8660000000000001
2,1,t625,3,13,-1,3.9,2.9,0.8640000000000001
2,1,t583,11,0,-1,5.7,4.7,1.616
2,1,t1440,0,7,-1,4.5,3.5,1.064
2,1,t1514,0,13,-1,4.2,3.2,0.9900000000000001
2,1,t442,9,11,-1,3.9,2.9,1.348
2,1,t911,1,11,-1,3.0,2.0,1.072
2,1,t405,9,3,-1,4.2,3.2,1.068
2,1,t526,14,5,-1,3.3,2.3,0.892
