num_of_zones,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
2,0,t1181,19,11,0,3.0,3.0,1.02
2,0,t174,7,5,-1,2.4,1.4,0.634
2,0,t859,15,13,-1,5.7,4.7,1.558
2,0,t575,11,19,0,2.6999999999999997,2.6999999999999997,0.984
2,0,t533,14,16,2,3.0,5.0,0.916
2,0,t1186,19,5,2,3.5999999999999996,5.6,0.986
2,0,t478,14,9,2,5.1,7.1,1.4300000000000002
2,0,t1188,19,15,2,4.2,6.2,1.1300000000000001
2,0,t1259,17,3,-1,3.5999999999999996,2.5999999999999996,1.076
2,0,t631,3,12,-1,4.2,3.2,0.8660000000000001
2,0,t57,13,5,-1,6.0,5.0,1.6239999999999999
2,0,t54,13,3,-1,3.9,2.9,0.886
2,0,t1433,10,0,-1,4.8,3.8,1.1826
2,0,t815,5,10,-1,3.3,2.3,0.828
2,0,t1475,0,13,-1,4.2,3.2,0.9900000000000001
2,0,t788,5,2,-1,3.5999999999999996,2.5999999999999996,0.918
2,0,t224,7,19,1,3.0,4.0,0.976
2,0,t1244,17,13,-1,5.3999999999999995,4.3999999999999995,1.568
2,0,t1201,19,10,2,4.5,6.5,1.3920000000000001
2,0,t1506,0,17,-1,3.0,2.0,0.638
2,0,t549,11,6,0,4.2,4.2,1.066
2,0,t1131,19,6,0,3.5999999999999996,3.5999999999999996,0.968
2,0,t1224,17,5,-1,6.3,5.3,1.57
2,0,t49,13,9,-1,4.8,3.8,1.202
2,0,t1493,0,5,-1,4.2,3.2,0.97
2,0,t1518,0,7,-1,4.5,3.5,1.064
2,0,t535,14,19,0,3.0,3.0,0.742
2,0,t1172,19,7,2,3.3,5.3,1.074
2,0,t854,15,10,-1,3.9,2.9,0.8960000000000001
2,0,t1276,17,10,-1,5.1,4.1,1.534
2,0,t908,1,9,-1,1.5,0.5,0.34600000000000003
2,0,t660,3,0,-1,4.5,3.5,0.868
