per_min_fee,seed,request_id,origin_sta,destination_sta,drop-off-fee,rental_fee,total_payment,operation_cost
0.2,0,t1181,19,11,2,2.0,4.0,1.02
0.2,0,t174,7,5,0,1.6,1.6,0.634
0.2,0,t352,2,13,0,2.6,2.6,0.8160000000000001
0.2,0,t859,15,13,0,3.8000000000000003,3.8000000000000003,1.558
0.2,0,t533,14,16,2,2.0,4.0,0.916
0.2,0,t1186,19,5,2,2.4000000000000004,4.4,0.986
0.2,0,t478,14,9,2,3.4000000000000004,5.4,1.4300000000000002
0.2,0,t1188,19,15,2,2.8000000000000003,4.800000000000001,1.1300000000000001
0.2,0,t1400,10,6,0,2.6,2.6,1.1580000000000001
0.2,0,t1259,17,3,2,2.4000000000000004,4.4,1.076
0.2,0,t631,3,12,2,2.8000000000000003,4.800000000000001,0.8660000000000001
0.2,0,t340,2,19,1,3.4000000000000004,4.4,1.688
0.2,0,t88,6,9,-1,2.8000000000000003,1.8000000000000003,0.952
0.2,0,t1080,16,19,0,2.6,2.6,1.2688000000000001
0.2,0,t547,11,13,2,4.6000000000000005,6.6000000000000005,2.2960000000000003
0.2,0,t57,13,5,2,4.0,6.0,1.6239999999999999
0.2,0,t1152,19,1,-1,2.6,1.6,1.528
0.2,0,t54,13,3,2,2.6,4.6,0.886
0.2,0,t1177,19,9,-1,2.8000000000000003,1.8000000000000003,1.7334
0.2,0,t1433,10,0,1,3.2,4.2,1.1826
0.2,0,t815,5,10,1,2.2,3.2,0.828
0.2,0,t1105,16,11,0,3.6,3.6,1.516
0.2,0,t1475,0,13,2,2.8000000000000003,4.800000000000001,0.9900000000000001
0.2,0,t788,5,2,2,2.4000000000000004,4.4,0.918
0.2,0,t898,1,13,0,3.2,3.2,1.3068
0.2,0,t224,7,19,2,2.0,4.0,0.976
0.2,0,t1244,17,13,0,3.6,3.6,1.568
0.2,0,t1201,19,10,2,3.0,5.0,1.3920000000000001
0.2,0,t1506,0,17,0,2.0,2.0,0.638
0.2,0,t549,11,6,1,2.8000000000000003,3.8000000000000003,1.066
0.2,0,t1131,19,6,1,2.4000000000000004,3.4000000000000004,0.968
0.2,0,t1224,17,5,1,4.2,5.2,1.57
0.2,0,t172,7,4,-1,3.4000000000000004,2.4000000000000004,1.89
0.2,0,t55,13,4,2,4.0,6.0,1.4820000000000002
0.2,0,t49,13,9,1,3.2,4.2,1.202
0.2,0,t1493,0,5,0,2.8000000000000003,2.8000000000000003,0.97
0.2,0,t1518,0,7,2,3.0,5.0,1.064
0.2,0,t41,13,6,-1,4.800000000000001,3.8000000000000007,1.8840000000000001
0.2,0,t535,14,19,1,2.0,3.0,0.742
0.2,0,t573,11,16,1,3.4000000000000004,4.4,1.6600000000000001
0.2,0,t1172,19,7,2,2.2,4.2,1.074
0.2,0,t854,15,10,2,2.6,4.6,0.8960000000000001
0.2,0,t1276,17,10,2,3.4000000000000004,5.4,1.534
0.2,0,t905,1,2,-1,2.2,1.2000000000000002,0.8980000000000001
