# Customers (|K|),# Vehicles (|V|),# Zones (S),seed number,Net profit (Euro)
400,100,5,0,208.6714
400,100,5,1,192.879
400,100,5,2,206.4994
400,100,5,3,192.1174
400,100,5,9,221.5384
Avg.,,,,204.34
400,150,5,0,221.3446
400,150,5,1,210.143
400,150,5,2,219.8418
400,150,5,3,220.6702
400,150,5,9,239.8734
Avg.,,,,222.37
400,200,5,0,221.3446
400,200,5,1,211.881
400,200,5,2,219.8418
400,200,5,3,222.8616
400,200,5,9,241.5574
Avg.,,,,223.50
600,150,5,0,317.547
600,150,5,1,270.3172
600,150,5,2,285.5484
600,150,5,3,306.1978
600,150,5,9,297.7212
Avg.,,,,295.47
600,200,5,0,345.9222
600,200,5,1,280.2924
600,200,5,2,301.3434
600,200,5,3,320.8382
600,200,5,9,317.0686
Avg.,,,,313.09
600,300,5,0,355.5662
600,300,5,1,282.6164
600,300,5,2,301.5834
600,300,5,3,324.933
600,300,5,9,323.4386
Avg.,,,,317.63
800,200,5,0,411.7562
800,200,5,1,432.9142
800,200,5,2,384.2892
800,200,5,3,374.4004
800,200,5,9,392.5798
Avg.,,,,399.19
800,300,5,0,445.1332
800,300,5,1,460.1722
800,300,5,2,408.4004
800,300,5,3,408.6364
800,300,5,9,432.061
Avg.,,,,430.88
800,400,5,0,451.0952
800,400,5,1,470.62
800,400,5,2,408.4004
800,400,5,3,413.2992
800,400,5,9,432.929
Avg.,,,,435.27
S=5 Average,,,,315.75
