# Customers (|K|),# Vehicles (|V|),# Zones (S),seed number,Net profit (Euro)
400,100,3,0,188.206
400,100,3,1,177.925
400,100,3,2,191.3234
400,100,3,3,178.7218
400,100,3,9,196.7764
Avg.,,,,186.59
400,150,3,0,201.33
400,150,3,1,188.037
400,150,3,2,198.8438
400,150,3,3,203.6322
400,150,3,9,215.3828
Avg.,,,,201.45
400,200,3,0,201.33
400,200,3,1,191.121
400,200,3,2,200.4858
400,200,3,3,204.2002
400,200,3,9,216.5508
Avg.,,,,202.74
600,150,3,0,287.7168
600,150,3,1,250.1746
600,150,3,2,248.9094
600,150,3,3,280.467
600,150,3,9,263.1632
Avg.,,,,266.09
600,200,3,0,317.3808
600,200,3,1,254.4806
600,200,3,2,269.3354
600,200,3,3,290.177
600,200,3,9,284.5602
Avg.,,,,283.19
600,300,3,0,321.6948
600,300,3,1,258.1286
600,300,3,2,269.424
600,300,3,3,294.6962
600,300,3,9,290.666
Avg.,,,,286.92
800,200,3,0,380.2002
800,200,3,1,399.2878
800,200,3,2,362.1784
800,200,3,3,350.8214
800,200,3,9,366.1722
Avg.,,,,371.73
800,300,3,0,406.6962
800,300,3,1,427.1612
800,300,3,2,375.3292
800,300,3,3,374.411
800,300,3,9,395.153
Avg.,,,,395.75
800,400,3,0,412.6062
800,400,3,1,439.691
800,400,3,2,377.9582
800,400,3,3,379.763
800,400,3,9,395.153
Avg.,,,,401.03
S=3 Average,,,,288.39
